lsoa11cd,lsoa21cd,lsoa21nm,n_properties,avg_epc_score,avg_epc_rating_num,pct_epc_ABC,avg_floor_area,avg_rooms,overcrowding_idx,median_house_price,transport_ptai,ptal_grade,ptai_high,ptai_low,hospital,GP,pharmacy,hospital_rnk,hospital_pct,domain_h,ahah
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,425000.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,465000.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,484750.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316
E01003911,E01003911,Southwark 020A,821,67.3130328867235,4.4167725540025415,44.82338611449452,68.81607795371498,3.4705882352941178,0.0041870388692325095,468500.0,14.285,3,23.1377,8.50791,1.0262345679012346,1.480246913580247,0.991358024691358,7895,18,-0.9766593640656394,33.09620206985316
E01003912,E01003912,Southwark 019A,740,65.73513513513514,4.235820895522388,30.0,65.0418918918919,3.4017391304347826,0.00451966066196554,,13.4737,3,16.3704,9.81091,1.198,1.2253333333333334,1.2246666666666668,11292,26,-0.8244621732173882,34.06537974396484
E01003912,E01003912,Southwark 019A,740,65.73513513513514,4.235820895522388,30.0,65.0418918918919,3.4017391304347826,0.00451966066196554,,13.4737,3,16.3704,9.81091,1.198,1.2253333333333334,1.2246666666666668,11292,26,-0.8244621732173882,34.06537974396484
E01003912,E01003912,Southwark 019A,740,65.73513513513514,4.235820895522388,30.0,65.0418918918919,3.4017391304347826,0.00451966066196554,,13.4737,3,16.3704,9.81091,1.198,1.2253333333333334,1.2246666666666668,11292,26,-0.8244621732173882,34.06537974396484
E01003912,E01003912,Southwark 019A,740,65.73513513513514,4.235820895522388,30.0,65.0418918918919,3.4017391304347826,0.00451966066196554,,13.4737,3,16.3704,9.81091,1.198,1.2253333333333334,1.2246666666666668,11292,26,-0.8244621732173882,34.06537974396484
E01003913,E01003913,Southwark 024A,912,66.2390350877193,4.31227651966627,40.35087719298245,90.16228070175438,3.8202054794520546,0.002903276427426255,675000.0,25.1306,6a,36.3645,8.57805,0.8804761904761905,1.397142857142857,1.0071428571428571,5013,11,-0.952215125074206,56.01767578976851
E01003913,E01003913,Southwark 024A,912,66.2390350877193,4.31227651966627,40.35087719298245,90.16228070175438,3.8202054794520546,0.002903276427426255,670000.0,25.1306,6a,36.3645,8.57805,0.8804761904761905,1.397142857142857,1.0071428571428571,5013,11,-0.952215125074206,56.01767578976851
E01003913,E01003913,Southwark 024A,912,66.2390350877193,4.31227651966627,40.35087719298245,90.16228070175438,3.8202054794520546,0.002903276427426255,665000.0,25.1306,6a,36.3645,8.57805,0.8804761904761905,1.397142857142857,1.0071428571428571,5013,11,-0.952215125074206,56.01767578976851
E01003913,E01003913,Southwark 024A,912,66.2390350877193,4.31227651966627,40.35087719298245,90.16228070175438,3.8202054794520546,0.002903276427426255,660000.0,25.1306,6a,36.3645,8.57805,0.8804761904761905,1.397142857142857,1.0071428571428571,5013,11,-0.952215125074206,56.01767578976851
E01003914,E01003914,Southwark 024B,810,64.49259259259259,4.218228498074454,32.46913580246913,89.8679012345679,4.213768115942029,0.002640734674215306,617500.0,13.8509,3,18.2601,8.33895,0.9488505747126436,0.9488505747126436,0.7459770114942529,6341,14,-1.1079964481950932,41.01664995284319
E01003914,E01003914,Southwark 024B,810,64.49259259259259,4.218228498074454,32.46913580246913,89.8679012345679,4.213768115942029,0.002640734674215306,640000.0,13.8509,3,18.2601,8.33895,0.9488505747126436,0.9488505747126436,0.7459770114942529,6341,14,-1.1079964481950932,41.01664995284319
E01003914,E01003914,Southwark 024B,810,64.49259259259259,4.218228498074454,32.46913580246913,89.8679012345679,4.213768115942029,0.002640734674215306,665000.0,13.8509,3,18.2601,8.33895,0.9488505747126436,0.9488505747126436,0.7459770114942529,6341,14,-1.1079964481950932,41.01664995284319
